index,id,breed,Breed_1,age,status,size,Size_1,fixed,house_trained,special,current,children,dog,Size_2,status1,dogs
0,46042150,1,0,4,1,2,1,1,1,0,1,1,1,1,1,30
1,46042002,1,0,3,1,3,1,1,1,0,1,1,1,1,1,23
2,46040898,0,0,3,1,3,1,1,0,0,1,1,1,1,1,9
3,46039877,0,0,1,2,3,3,0,0,0,0,1,1,1,1,22
4,46039306,0,0,2,1,1,3,1,0,0,1,1,1,1,1,25
5,46039304,1,0,1,1,2,1,1,0,0,1,1,1,1,1,9
6,46039303,1,0,1,2,1,1,1,0,0,1,1,1,1,1,26
7,46039302,1,0,1,1,2,2,1,0,0,1,1,1,1,1,28
8,46039301,1,0,1,2,2,2,1,0,0,1,1,1,1,1,27
9,46038709,1,0,1,1,2,2,1,0,0,1,1,1,1,1,8
10,46038708,1,0,1,2,2,2,1,0,0,1,1,1,1,1,18
11,46038703,1,0,1,2,1,1,1,0,0,1,1,1,1,1,7
12,46038700,1,0,1,1,2,2,1,0,0,1,1,1,1,1,2
13,46038243,1,0,3,2,2,1,1,1,0,1,1,1,1,1,11
14,46038070,1,0,2,2,3,2,1,0,0,0,1,1,1,1,7
15,46038064,1,0,3,1,4,3,1,0,0,0,1,1,1,1,6
16,46038065,1,0,3,1,2,2,1,0,0,0,1,1,1,1,28
17,46038067,1,0,3,2,3,3,1,0,0,0,1,1,1,1,2
18,46038068,1,0,2,1,3,1,1,0,0,0,1,1,1,1,3
19,46038060,1,0,2,1,2,1,1,0,0,0,1,1,1,1,18
20,46038062,1,0,2,1,3,2,1,0,0,0,1,1,1,1,20
21,46038063,1,0,3,1,3,3,1,0,0,0,1,1,1,1,28
22,46038061,1,0,1,1,1,1,0,0,0,0,1,1,1,1,17
23,46037951,1,0,1,2,2,1,1,1,0,1,1,1,1,1,11
24,46037918,1,0,1,2,2,1,1,1,0,1,1,1,1,1,21
25,46037881,1,0,4,1,2,2,1,0,1,0,1,1,1,1,15
26,46037860,0,0,3,2,1,1,1,0,0,1,1,1,1,1,24
27,46037820,0,0,4,2,1,1,1,0,0,1,1,1,1,1,2
28,46037762,0,0,4,2,1,1,1,0,0,1,1,1,1,1,11
29,46037742,0,0,4,1,2,4,1,1,0,0,1,1,1,1,23
30,46037637,1,0,3,1,3,2,1,0,0,0,1,1,1,1,29
31,46037534,1,0,4,1,3,1,1,0,0,0,1,1,1,1,27
32,46036459,1,0,2,1,3,2,1,0,0,0,1,1,1,1,7
33,46035351,1,0,3,2,1,3,1,0,0,0,1,1,1,1,22
34,46035350,1,0,3,1,1,3,1,0,0,0,1,1,1,1,11
35,46035353,1,0,3,1,1,2,1,0,0,0,1,1,1,1,5
36,46035346,1,0,2,1,1,4,1,0,0,0,1,1,1,1,20
37,46035344,1,0,2,1,2,3,1,0,0,0,1,1,1,1,3
38,46035342,1,0,3,1,1,2,1,0,0,0,1,1,1,1,25
39,46034532,1,0,2,2,2,1,1,0,0,1,0,1,1,1,15
40,46033962,1,0,3,1,3,2,1,0,0,0,1,1,1,1,21
41,46032651,1,0,4,2,2,1,0,1,0,1,1,1,1,1,27
42,46032592,1,0,3,1,1,3,1,0,0,0,1,1,1,1,20
43,46032594,1,0,3,1,3,3,0,0,0,0,1,1,1,1,9
44,46032595,1,0,2,2,3,4,0,0,0,0,1,1,1,1,8
45,46032596,1,0,3,1,3,3,1,0,0,0,1,1,1,1,10
46,46032588,1,0,3,1,3,3,0,0,0,0,1,1,1,1,11
47,46032587,1,0,2,1,3,4,1,0,0,0,1,1,1,1,1
48,46032589,1,0,2,2,2,3,1,0,0,0,1,1,1,1,12
49,46032253,1,0,3,2,1,2,1,0,0,1,1,1,1,1,26
50,46031946,1,0,2,1,1,5,0,0,0,0,0,1,1,1,22
51,46031507,1,0,3,1,3,1,0,0,0,0,1,1,1,1,11
52,46031797,1,0,2,1,3,3,0,0,0,0,1,1,1,1,9
53,46031796,1,0,2,1,1,1,1,0,0,0,1,1,1,1,17
54,46029444,0,0,2,1,2,2,1,0,0,1,1,0,0,1,21
55,46029446,0,0,4,1,1,3,1,0,0,1,0,1,1,1,22
56,46028152,1,0,1,1,1,3,1,0,0,1,1,1,1,1,28
57,46027977,1,0,1,2,1,4,1,0,0,1,1,1,1,1,12
58,46027945,1,0,1,1,1,3,1,0,0,1,1,1,1,1,27
59,46027921,1,0,1,2,1,4,1,0,0,1,1,1,1,1,10
60,46027872,0,0,2,2,1,3,1,0,0,1,1,1,1,1,13
61,46027804,0,0,1,2,3,3,1,1,0,1,0,1,1,1,7
62,46027303,1,0,2,2,2,2,1,0,0,0,1,1,1,1,15
63,46026629,1,0,2,2,1,1,1,1,0,1,1,1,1,1,24
64,46026616,1,0,1,1,1,3,1,0,0,1,1,1,1,1,15
65,46026600,1,0,1,2,1,2,1,0,0,1,1,1,1,1,27
66,46026454,1,0,1,2,1,2,1,0,0,1,1,1,1,1,21
67,46026507,1,0,3,2,1,1,1,0,0,0,1,1,1,1,9
68,46026395,0,0,3,1,2,1,1,0,0,1,1,1,1,1,1
69,46026306,1,0,1,2,3,1,1,0,0,1,1,1,1,1,22
70,46026195,0,0,4,1,1,1,1,1,0,1,1,1,1,1,11
71,46026170,0,0,2,1,1,1,1,1,0,1,0,1,1,1,26
72,46025014,0,0,1,1,2,2,1,1,0,1,1,1,1,1,4
73,46024779,1,0,2,2,1,1,1,1,0,1,1,1,1,1,2
74,46024627,1,0,4,2,1,1,1,1,0,1,1,1,1,1,4
75,46023420,1,0,3,1,3,3,0,0,0,0,1,1,1,1,6
76,46021809,1,0,2,2,3,3,1,0,0,0,1,1,1,1,30
77,46021807,1,0,2,2,3,3,0,0,0,0,1,1,1,1,30
78,46020352,1,0,3,2,3,1,1,0,0,1,1,1,1,1,27
79,46020343,1,0,1,2,3,1,1,0,0,1,1,1,1,1,23
80,46020326,1,0,3,2,2,1,0,0,0,0,1,0,1,1,24
81,46020312,1,0,2,1,3,1,1,0,0,1,1,1,1,1,6
82,46020301,1,0,2,2,2,1,0,0,0,0,1,1,1,1,19
83,46020258,1,0,3,1,2,1,1,0,0,1,1,1,1,1,21
84,46020245,1,0,1,1,2,1,1,0,0,1,1,1,1,1,24
85,46020236,1,0,3,1,2,2,1,0,0,1,1,1,1,1,26
86,46020230,1,0,3,2,2,1,1,0,0,1,1,1,1,1,11
87,46015991,1,0,2,1,3,4,0,0,0,0,1,1,1,1,1
88,46015398,1,0,2,2,2,3,0,0,0,0,1,1,1,1,26
89,46015218,1,0,2,2,1,1,0,1,0,1,1,1,1,1,10
90,46012741,1,0,2,1,1,2,1,0,0,0,1,1,1,1,25
91,46012739,1,0,2,1,2,2,1,0,0,0,1,1,1,1,10
92,46012718,1,0,3,2,3,3,1,1,0,0,1,1,1,1,5
93,46010922,1,0,2,2,3,3,0,0,0,0,1,1,1,1,15
94,46010921,1,0,3,2,3,3,0,0,0,0,1,1,1,1,16
95,46010919,1,0,2,2,1,2,1,0,0,0,1,1,1,1,10
96,46010918,1,0,2,2,3,3,0,0,0,0,1,1,1,1,9
97,46008181,1,0,3,2,3,3,1,0,0,0,1,1,1,1,27
98,46007891,0,0,1,1,1,1,1,1,0,1,1,1,1,1,30
99,46007288,0,0,3,2,2,2,1,0,0,1,1,1,1,1,24
100,46005760,1,0,3,2,1,3,1,1,0,1,1,1,1,1,17
101,46005576,1,0,3,1,3,2,1,1,0,1,1,1,1,1,10
102,46005725,0,0,2,1,3,1,1,1,0,1,1,1,1,1,1
103,46005633,1,0,1,2,1,3,0,0,0,1,1,1,1,1,10
104,46005567,1,0,1,1,1,3,0,0,0,1,1,1,1,1,23
105,46005531,1,0,1,2,1,3,0,0,0,1,1,1,1,1,21
106,45989641,1,0,3,2,1,3,1,0,0,0,1,1,1,1,11
107,45988823,1,0,2,1,1,2,1,0,0,0,1,1,1,1,13
108,45988816,1,0,3,2,2,3,1,0,0,0,1,1,1,1,15
109,45988814,1,0,3,1,1,3,1,0,0,0,1,1,1,1,10
110,45987766,1,0,1,2,3,2,1,0,0,1,1,1,1,1,26
111,45987322,1,0,2,2,2,1,1,0,0,0,1,1,1,1,3
112,45985729,1,0,3,2,2,3,1,0,0,0,1,1,1,1,8
113,45984048,1,0,2,1,3,3,0,0,0,0,1,1,1,1,11
114,45983456,1,0,3,1,3,1,1,0,0,0,1,1,1,1,15
115,45982562,1,0,2,2,1,1,1,0,0,0,1,1,1,1,19
116,45982546,1,0,2,2,1,1,1,0,0,1,1,1,1,1,4
117,45982553,1,0,1,2,1,1,1,0,0,1,1,1,1,1,5
118,45982538,1,0,2,2,2,1,1,0,0,1,1,1,1,1,20
119,45981407,1,0,3,2,1,2,1,0,0,0,1,1,1,1,7
120,45981405,1,0,3,2,2,2,0,0,0,0,1,1,1,1,24
